id,preco
64615,5963.48
83338,10451.54
26411,5666.8
62530,2318.05
11665,7008.79
49924,7304.85
76008,3665.07
64433,5052.85
29534,2273.79
5147,2986.82
38761,14534.65
95016,5992.87
93157,19766.0
4732,2183.79
85309,1687.24
89575,6559.26
79720,8296.64
37177,3640.41
10926,2442.3
82878,4788.56
29405,1605.65
27572,11600.35
65544,8496.08
79279,5401.84
44565,4842.27
21321,19547.81
29420,3910.6
25775,3279.39
7707,2185.26
18326,2253.65
61881,15025.91
3137,9641.8
48944,3123.92
12201,1872.3
73928,3827.98
64893,10193.78
24821,2162.23
38089,4732.61
64260,14782.51
64583,5682.47
86355,2357.64
37908,24633.72
88714,3473.78
26138,3388.56
13103,3030.44
12834,2122.24
35462,9219.62
56008,15493.45
56359,9890.32
98246,4996.05
39224,13785.87
49151,7035.38
98025,1230.17
32290,1961.82
73444,5466.84
13046,11442.37
1256,9343.35
81087,5200.25
43393,13992.38
19602,2547.8
27229,923.71
71855,14009.27
59106,2657.71
97575,1312.24
27192,3367.44
94997,3538.11
13978,1394.86
42836,2193.53
60711,3312.85
90360,2100.93
11704,7672.09
94494,2056.37
51701,3111.26
4173,1542.66
88536,1445.84
15114,1859.03
55211,18590.42
98876,1769.56
6355,13141.04
89441,5324.66
21219,3317.17
97225,676.97
56488,1712.78
17539,13902.72
8919,6412.64
30882,3235.63
44297,5511.76
87122,8736.27
54683,1330.96
71165,7011.43
79467,2915.19
357,1187.0
88445,5554.52
45201,3437.44
99530,3662.37
124,3697.51
48775,10162.1
32943,2638.11
6388,6438.23
42029,9284.64
80467,14583.85
26779,19823.94
72867,2451.6
18173,7694.25
165,2266.14
54818,10740.75
82234,3301.15
67460,2698.27
37387,10599.59
37190,1732.57
3089,7250.42
12364,1961.15
23686,6826.75
18318,12877.95
72546,3022.65
20544,7493.31
76180,9505.09
97445,1928.57
46672,11882.22
90271,5238.73
64562,2164.03
88464,16038.76
3145,2972.62
93345,2453.73
55997,2238.64
89230,6553.33
73332,7455.73
26644,5612.0
90720,16192.18
46411,11600.26
19035,1647.95
29934,4511.63
61568,4506.31
13456,11141.87
46870,13098.5
75143,11365.95
96780,15197.09
58543,6426.59
64721,2136.55
54385,20887.25
83422,4003.18
75827,16762.87
67593,5925.37
48256,2704.02
339,2896.78
42700,5343.22
38985,1262.01
65342,14722.26
79065,2305.44
39184,3146.42
75329,5397.85
66812,12754.0
88593,3571.76
55508,2549.22
86624,5794.32
986,3874.23
49405,3235.49
16573,8091.77
30534,1937.42
82815,3628.82
93810,13972.34
98307,5762.32
44277,2573.17
43707,6016.18
78367,9999.75
23136,4687.83
35563,6455.56
48952,11693.74
17897,2380.95
37406,1882.38
33764,1203.11
98714,1681.32
57125,5004.41
8898,12552.02
2220,2075.48
5528,5203.69
97910,18278.93
48767,6302.37
29443,3829.42
9784,13492.49
52811,7210.36
19977,5207.37
21385,4978.98
16160,2136.78
17547,1590.12
24895,1639.3
49866,2314.48
99246,1924.18
23670,1469.96
26433,3368.4
78608,2097.56
39555,3756.23
15220,7615.69
72930,3137.27
44723,4495.03
82735,1564.11
210,2980.98
19889,10439.35
35527,6900.94
82442,10839.73
7361,7240.44
31730,5049.57
47888,3155.77
92281,4858.71
77089,3370.52
60091,1540.74
21611,2985.39
17261,16135.96
17877,10752.91
84385,2280.32
59538,19697.05
31891,9035.49
37372,10377.35
31246,3141.87
11715,859.05
73052,1424.03
34928,11704.7
97375,2999.35
4742,3611.21
28106,899.87
23455,3017.65
66370,9680.38
77127,2430.2
88184,1885.43
97839,2710.92
91020,2330.19
92204,12644.33
55369,9011.15
36278,5783.49
75455,1659.93
98922,2110.53
10998,3579.45
70197,7976.57
9526,4245.01
96721,1176.73
84807,7166.86
60937,9648.22
68827,3870.41
69890,3498.11
56977,3140.26
91954,4138.42
27502,4845.19
66600,2148.48
18764,1764.86
55830,2324.53
65358,3337.75
66128,2240.89
95977,5075.4
7879,3952.85
19230,2403.2
8901,4958.71
10076,4492.29
73587,9508.38
